iShares Core S&P Small-Cap ETF
Fund Holdings as of,"Jan 05, 2026"
Inception Date,"May 22, 2000"
Shares Outstanding,"731,600,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Type,Sector,Asset Class,Market Value,Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date,Notional Weight,Market Weight
"INDV","INDIVIOR PLC","EQUITY","Health Care","Equity","268,591,221.25","268,591,221.25","7,409,413.00","36.25","United States","NASDAQ","USD","1.00","USD","-","0.30","0.30"
"CNR","CORE NATURAL RESOURCES INC","EQUITY","Energy","Equity","267,678,014.77","267,678,014.77","3,040,759.00","88.03","United States","New York Stock Exchange Inc.","USD","1.00","USD","-","0.30","0.30"
"BTSG","BRIGHTSPRING HEALTH SERVICES INC","EQUITY","Health Care","Equity","264,723,898.40","264,723,898.40","6,742,840.00","39.26","United States","NASDAQ","USD","1.00","USD","-","0.29","0.29"
"MC","MOELIS CLASS A","EQUITY","Financials","Equity","264,339,091.80","264,339,091.80","3,545,796.00","74.55","United States","New York Stock Exchange Inc.","USD","1.00","USD","-","0.29","0.29"
"ENPH","ENPHASE ENERGY INC","EQUITY","Information Technology","Equity","264,038,458.00","264,038,458.00","7,765,837.00","34.00","United States","NASDAQ","USD","1.00","USD","-","0.29","0.29"
"ITRI","ITRON INC","EQUITY","Information Technology","Equity","262,916,299.39","262,916,299.39","2,718,043.00","96.73","United States","NASDAQ","USD","1.00","USD","-","0.29","0.29"
"VSCO","VICTORIA S SECRET","EQUITY","Consumer Discretionary","Equity","262,222,486.24","262,222,486.24","4,757,302.00","55.12","United States","New York Stock Exchange Inc.","USD","1.00","USD","-","0.29","0.29"
"QTWO","Q2 HOLDINGS INC","EQUITY","Information Technology","Equity","261,798,280.45","261,798,280.45","3,710,819.00","70.55","United States","New York Stock Exchange Inc.","USD","1.00","USD","-","0.29","0.29"
"PECO","PHILLIPS EDISON AND COMPANY INC","EQUITY","Real Estate","Equity","260,921,077.35","260,921,077.35","7,465,553.00","34.95","United States","NASDAQ","USD","1.00","USD","-","0.29","0.29"
"RDNT","RADNET INC","EQUITY","Health Care","Equity","260,622,180.33","260,622,180.33","3,513,849.00","74.17","United States","NASDAQ","USD","1.00","USD","-","0.29","0.29"
"OSIS","OSI SYSTEMS INC","EQUITY","Information Technology","Equity","257,023,998.00","257,023,998.00","947,100.00","271.38","United States","NASDAQ","USD","1.00","USD","-","0.28","0.29"
"PJT","PJT PARTNERS INC CLASS A","EQUITY","Financials","Equity","256,835,344.50","256,835,344.50","1,442,490.00","178.05","United States","New York Stock Exchange Inc.","USD","1.00","USD","-","0.28","0.29"
"TMDX","TRANSMEDICS GROUP INC","EQUITY","Health Care","Equity","256,101,270.04","256,101,270.04","2,028,043.00","126.28","United States","NASDAQ","USD","1.00","USD","-","0.28","0.28"
"MRCY","MERCURY SYSTEMS INC","EQUITY","Industrials","Equity","255,138,257.22","255,138,257.22","3,138,618.00","81.29","United States","NASDAQ","USD","1.00","USD","-","0.28","0.28"
"ADMA","ADMA BIOLOGICS INC","EQUITY","Health Care","Equity","254,653,935.03","254,653,935.03","14,123,901.00","18.03","United States","NASDAQ","USD","1.00","USD","-","0.28","0.28"
"RUN","SUNRUN INC","EQUITY","Industrials","Equity","252,274,552.40","252,274,552.40","13,770,445.00","18.32","United States","NASDAQ","USD","1.00","USD","-","0.28","0.28"
"FTDR","FRONTDOOR INC","EQUITY","Consumer Discretionary","Equity","251,336,150.87","251,336,150.87","4,279,519.00","58.73","United States","NASDAQ","USD","1.00","USD","-","0.28","0.28"
"AEO","AMERICAN EAGLE OUTFITTERS INC","EQUITY","Consumer Discretionary","Equity","250,937,522.40","250,937,522.40","9,345,904.00","26.85","United States","New York Stock Exchange Inc.","USD","1.00","USD","-","0.28","0.28"
"SKYW","SKYWEST INC","EQUITY","Industrials","Equity","246,349,349.07","246,349,349.07","2,379,957.00","103.51","United States","NASDAQ","USD","1.00","USD","-","0.27","0.27"
"PLXS","PLEXUS CORP","EQUITY","Information Technology","Equity","246,075,545.45","246,075,545.45","1,601,533.00","153.65","United States","NASDAQ","USD","1.00","USD","-","0.27","0.27"
"BOX","BOX INC CLASS A","EQUITY","Information Technology","Equity","245,392,770.70","245,392,770.70","8,598,205.00","28.54","United States","New York Stock Exchange Inc.","USD","1.00","USD","-","0.27","0.27"
"URBN","URBAN OUTFITTERS INC","EQUITY","Consumer Discretionary","Equity","245,032,632.32","245,032,632.32","3,193,856.00","76.72","United States","NASDAQ","USD","1.00","USD","-","0.27","0.27"
"TGTX","TG THERAPEUTICS INC","EQUITY","Health Care","Equity","241,255,326.00","241,255,326.00","8,068,740.00","29.90","United States","NASDAQ","USD","1.00","USD","-","0.27","0.27"
"RDN","RADIAN GROUP INC","EQUITY","Financials","Equity","240,315,193.30","240,315,193.30","6,618,430.00","36.31","United States","New York Stock Exchange Inc.","USD","1.00","USD","-","0.27","0.27"
"VIAV","VIAVI SOLUTIONS INC","EQUITY","Information Technology","Equity","239,878,902.60","239,878,902.60","13,245,660.00","18.11","United States","NASDAQ","USD","1.00","USD","-","0.27","0.27"
"MDU","MDU RESOURCES GROUP INC","EQUITY","Utilities","Equity","239,244,914.58","239,244,914.58","12,125,946.00","19.73","United States","New York Stock Exchange Inc.","USD","1.00","USD","-","0.27","0.27"
"SXT","SENSIENT TECHNOLOGIES CORP","EQUITY","Materials","Equity","239,124,248.30","239,124,248.30","2,521,078.00","94.85","United States","New York Stock Exchange Inc.","USD","1.00","USD","-","0.27","0.27"
"ENVA","ENOVA INTERNATIONAL INC","EQUITY","Financials","Equity","238,972,001.40","238,972,001.40","1,471,865.00","162.36","United States","New York Stock Exchange Inc.","USD","1.00","USD","-","0.26","0.27"
"TDS","TELEPHONE AND DATA SYSTEMS INC","EQUITY","Communication","Equity","237,786,499.53","237,786,499.53","5,832,389.00","40.77","United States","New York Stock Exchange Inc.","USD","1.00","USD","-","0.26","0.26"
"MARA","MARA HOLDINGS INC","EQUITY","Information Technology","Equity","237,673,339.74","237,673,339.74","22,443,186.00","10.59","United States","NASDAQ","USD","1.00","USD","-","0.26","0.26"
"MGY","MAGNOLIA OIL GAS CORP CLASS A","EQUITY","Energy","Equity","237,164,743.90","237,164,743.90","10,869,145.00","21.82","United States","New York Stock Exchange Inc.","USD","1.00","USD","-","0.26","0.26"
"HASI","HA SUSTAINABLE INFRASTRUCTURE CAPI","EQUITY","Financials","Equity","236,434,707.60","236,434,707.60","7,482,111.00","31.60","United States","New York Stock Exchange Inc.","USD","1.00","USD","-","0.26","0.26"
"ATGE","ADTALEM GLOBAL EDUCATION INC","EQUITY","Consumer Discretionary","Equity","236,246,918.98","236,246,918.98","2,155,931.00","109.58","United States","New York Stock Exchange Inc.","USD","1.00","USD","-","0.26","0.26"
"MATX","MATSON INC","EQUITY","Industrials","Equity","233,849,128.70","233,849,128.70","1,850,365.00","126.38","United States","New York Stock Exchange Inc.","USD","1.00","USD","-","0.26","0.26"
"UCB","UNITED COMMUNITY BANKS INC","EQUITY","Financials","Equity","231,049,849.03","231,049,849.03","7,195,573.00","32.11","United States","New York Stock Exchange Inc.","USD","1.00","USD","-","0.26","0.26"
"AGO","ASSURED GUARANTY LTD","EQUITY","Financials","Equity","230,919,585.30","230,919,585.30","2,570,915.00","89.82","United States","New York Stock Exchange Inc.","USD","1.00","USD","-","0.26","0.26"
"SKT","TANGER INC","EQUITY","Real Estate","Equity","227,750,841.06","227,750,841.06","6,831,159.00","33.34","United States","New York Stock Exchange Inc.","USD","1.00","USD","-","0.25","0.25"
"LGND","LIGAND PHARMACEUTICALS INC","EQUITY","Health Care","Equity","224,295,072.63","224,295,072.63","1,168,021.00","192.03","United States","NASDAQ","USD","1.00","USD","-","0.25","0.25"
"MWA","MUELLER WATER PRODUCTS INC SERIES","EQUITY","Industrials","Equity","222,750,470.04","222,750,470.04","9,277,404.00","24.01","United States","New York Stock Exchange Inc.","USD","1.00","USD","-","0.25","0.25"
"FELE","FRANKLIN ELECTRIC INC","EQUITY","Industrials","Equity","222,233,465.07","222,233,465.07","2,271,629.00","97.83","United States","NASDAQ","USD","1.00","USD","-","0.25","0.25"
"HCC","WARRIOR MET COAL INC","EQUITY","Materials","Equity","222,173,925.24","222,173,925.24","2,470,246.00","89.94","United States","New York Stock Exchange Inc.","USD","1.00","USD","-","0.25","0.25"
"BTU","PEABODY ENERGY CORP","EQUITY","Energy","Equity","220,963,289.72","220,963,289.72","7,216,306.00","30.62","United States","New York Stock Exchange Inc.","USD","1.00","USD","-","0.24","0.25"
"SFBS","SERVISFIRST BANCSHARES INC","EQUITY","Financials","Equity","219,698,674.00","219,698,674.00","2,982,200.00","73.67","United States","New York Stock Exchange Inc.","USD","1.00","USD","-","0.24","0.24"
"INDB","INDEPENDENT BANK CORP","EQUITY","Financials","Equity","219,482,748.80","219,482,748.80","2,942,128.00","74.60","United States","NASDAQ","USD","1.00","USD","-","0.24","0.24"
"PATK","PATRICK INDUSTRIES INC","EQUITY","Consumer Discretionary","Equity","219,217,219.52","219,217,219.52","1,974,752.00","111.01","United States","NASDAQ","USD","1.00","USD","-","0.24","0.24"
"SIG","SIGNET JEWELERS LTD","EQUITY","Consumer Discretionary","Equity","217,712,927.77","217,712,927.77","2,430,103.00","89.59","United States","New York Stock Exchange Inc.","USD","1.00","USD","-","0.24","0.24"
"WAY","WAYSTAR HOLDING CORP","EQUITY","Health Care","Equity","216,491,112.18","216,491,112.18","6,812,181.00","31.78","United States","NASDAQ","USD","1.00","USD","-","0.24","0.24"
"ASO","ACADEMY SPORTS AND OUTDOORS INC","EQUITY","Consumer Discretionary","Equity","216,393,389.55","216,393,389.55","3,953,835.00","54.73","United States","NASDAQ","USD","1.00","USD","-","0.24","0.24"
"NE","NOBLE CORPORATION PLC","EQUITY","Energy","Equity","216,189,458.15","216,189,458.15","7,447,105.00","29.03","United States","New York Stock Exchange Inc.","USD","1.00","USD","-","0.24","0.24"
"MYRG","MYR GROUP INC","EQUITY","Industrials","Equity","214,235,899.92","214,235,899.92","921,207.00","232.56","United States","NASDAQ","USD","1.00","USD","-","0.24","0.24"
"PLMR","PALOMAR HOLDINGS INC","EQUITY","Financials","Equity","214,004,228.57","214,004,228.57","1,572,751.00","136.07","United States","NASDAQ","USD","1.00","USD","-","0.24","0.24"
"CALM","CAL MAINE FOODS INC","EQUITY","Consumer Staples","Equity","213,925,545.47","213,925,545.47","2,705,521.00","79.07","United States","NASDAQ","USD","1.00","USD","-","0.24","0.24"
"WSC","WILLSCOT HOLDINGS CORP CLASS A","EQUITY","Industrials","Equity","213,790,816.80","213,790,816.80","10,797,516.00","19.80","United States","NASDAQ","USD","1.00","USD","-","0.24","0.24"
"VRRM","VERRA MOBILITY CORP CLASS A","EQUITY","Industrials","Equity","212,869,077.20","212,869,077.20","9,469,265.00","22.48","United States","NASDAQ","USD","1.00","USD","-","0.24","0.24"
