ticker,weight
US03748R7474,7.047e-3
US03753U1060,2.636e-3
US03762U1051,3.3924e-2
US03770N1019,9.629e-3
US03782L1017,1.198e-3
US03783C1009,9.71e-3
US0381692070,1.1533e-2
US03820C1053,0.100426
US03823U1025,6.852e-3
US0383361039,0.10438
US03843E1047,1.361e-3
US03852U1060,0.224326
US03940C1009,2.441e-3
US03945R1023,2.2161e-2
US0396971071,2.251e-3
US03969K1088,1.152e-3
US03980N1072,1.1502e-2
US04010E1091,1.3405e-2
US04035M1027,1.0834e-2
US04271T1007,1.2446e-2
US04272N1028,2.195e-3
US0427351004,0.419423
US04335A1051,7.433e-3
US04342Y1047,2.21e-3
US0441861046,9.4573e-2
US04523Y1055,3.415e-3
US0454871056,0.142146
US04621X1081,0.232645
US0464331083,5.376e-3
US04650F1012,1.862e-3
US0476491081,0.12536
US0477261046,1.355e-3
US0477263026,7.951e-3
US04914Y1029,1.0971e-2
US04956D1072,4.0459e-2
US04963C2098,8.189e-3
US0517741072,1.1806e-2
US0528001094,0.166149
US05329W1027,0.272644
US05352A1007,0.204159
US05356F1057,2.25e-3
US0536041041,4.829e-3
US05368V1061,8.3631e-2
US05370A1088,1.5531e-2
US0537741052,0.147699
US0538071038,0.29354
US05463X1063,2.703e-3
US05464T1043,2.567e-3
US0554771032,2.468e-3
US05550J1016,0.231067
US05561Q2012,8.0479e-2
US05589G1022,1.8305e-2
US05603J1088,5.472e-3
US05605H1005,5.8261e-2
US06211J1007,2.0009e-2
US06417N1037,0.208318
US0684631080,1.6878e-2
US0708301041,0.137888
US07373V1052,1.3357e-2
US07556Q8814,4.476e-2
US0773473006,1.5088e-2
US0774541066,6.2854e-2
US07831C1036,3.0729e-2
US08774B5084,1.091e-3
US08975B1098,2.435e-3
US0900431000,4.3802e-2
US0905722072,6.3706e-2
US09058V1035,1.658e-3
US09061G1013,0.116036
US09073M1045,5.861e-2
US09180C1062,1.678e-2
US0921131092,9.417e-2
US09227Q1004,1.5724e-2
US09257W1009,8.2145e-2
US09263B2079,3.058e-3
US09352U1088,1.028e-3
US0936711052,9.2561e-2
US0953061068,1.3986e-2
US09581B1035,5.6601e-2
US09624H2085,5.1741e-2
US0997241064,0.31053
US1005571070,3.022e-2
US10240L1026,9.205e-3
US1033041013,9.7249e-2
